"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"JPN",1968,24.2482485637636,49.9003101322576,48.3382092071301,12918821.0378289,6097191.86487832,6056227.41378039,4929469.1,827758046,822828576.9,8.27344143876888,0.126774261752061,50.751,-48.2255665117479,-11.9803103027445
"JPN",1978,18.9226845430578,42.6639926282412,43.0314818621966,13430887.5628611,7467231.15649489,7438108.55240588,4251298.2,875741664.6,871490366.4,9.15610706430847,0.126985474612872,49.933,-41.4160371699976,-7.11337808239467
"JPN",1988,13.590349553485,45.1323847312226,45.0885511262608,13974828.2357222,8784085.30062265,8760906.15534125,3744875.6,841350336.2,837605460.6,8.91139227153801,0.111989259864581,50.076,-23.6990801901702,-7.56770908011051
"JPN",1998,32.8768758599856,59.0373471409836,58.8650622251895,14701973.609844,9868934.88067255,9851942.16745713,3151922.2,901815688.8,898663766.6,9.03666891816626,0.108343532129357,53.329,-50.7439145084528,-8.01566064656643
"JPN",2008,42.2335869359256,70.6951874286551,70.5680932916252,14793359.2725994,11203527.5280684,11193198.4712757,2932567.7,1031150424.8,1028217857.1,9.21722412593497,0.0891388111965115,54.3444444444444,-70.0189669354753,-11.9811552597029
"JOR",1968,2.50793773581843,34.05260957127,34.0406765743439,1843456.4505691,6184059.18502593,6186952.70744794,327794.4,479511994.4,479184200,5.35938224682924,0.00590974616107803,3.137,-61.368432539737,-3.4077303138938
"JOR",1978,4.17124243009263,32.122596431345,32.1131258769917,2226643.45577521,7611568.29959987,7613936.06427107,229566,518439310.2,518209744.2,7.88087639360622,0.0197859568275528,3.954,-38.2677761346418,-3.45235969730974
"JOR",1988,8.27343366509649,34.19651836046,34.201634984054,4012123.82103813,8850455.63991145,8852279.19995456,188399.7,498478491.9,498290092.2,10.0643591302169,0.0307027428224419,6.309,-50.0070338508642,-2.84001773951699
"JOR",1998,9.16728407491597,42.7589442088724,42.7643312436054,4483465.31606919,7044070.26619068,7044992.72346031,174003.3,474627235.2,474453231.9,11.1665079472729,0.104723540448074,7.627,-62.595436590415,-3.80310073314192
"JOR",2008,13.3821798570742,59.1993623188568,59.1483012462394,5751888.79568421,8361188.64291336,8362227.50595636,183701,459156639.6,458972938.6,12.064427036509,0.0681237748335164,9.66111111111111,-30.9300013337396,-4.36727201262071
